question_code,is_narrative,question_text,options,tag,original tags,mismatch
FS1008,FALSE,"Given the course objectives, the level of intellectual challenge of the material covered was:","['too low', 'low', 'appropriate', 'high', 'too high']",,#N/A,
DR379,TRUE,How appropriate was the workload?,[],,#N/A,
DR380,TRUE,How available was the instructor for help outside the classroom?,[],,#N/A,
DR375,TRUE,How clearly did the instructor define the topic of study?,[],,#N/A,
DR376,TRUE,"How clearly did the instructor outline the expectation for the course, classroom activity and homework?",[],,#N/A,
FS0041,FALSE,How clearly does the instructor provide explanations of conceptual material?,"['1 (Very Clear)', '2', '3 (Average)', '4', '5 (Unclear)']",,#N/A,
DR332,TRUE,How did the amount of assigned reading work with weekly discussion?,[],,#N/A,
DR128,TRUE,How did the amount of assigned reading work with weekly discussion?,[],,#N/A,
DR129,TRUE,How did the supplementary materials,[],,#N/A,
DR333,TRUE,"How did the supplementary materials (files, videos, recordings, etc.) for the course enhance your experience of it?",[],,#N/A,
GS009,TRUE,How did this course deepen your knowledge of your discipline/profession? To what extent did this course contribute to your dissertation/research?,[],knowledge,knowledge,
DR330,TRUE,How effective was the balance between instruction and discussion?,[],,#N/A,
DR126,TRUE,How effective was the balance between instruction and discussion?,[],,#N/A,
DR176,TRUE,How inspiring did you find this course for your own playwriting?,[],,#N/A,
DR344,TRUE,How many of the 14 class meetings did you attend?  Comments:,[],,#N/A,
DR140,TRUE,How many of the 14 class meetings did you attend?  Comments:,[],,#N/A,
FS0029,FALSE,How responsive to student comments was the instructor?,"['1 (Very responsive)', '2', '3 (Average)', '4', '5 (Not responsive)']",,#N/A,
DR382,TRUE,How useful was this course in preparing you for production work?,[],,#N/A,
DR381,TRUE,How useful were assignments in furthering an understanding of the topic?,[],,#N/A,
DR378,TRUE,How well did lectures fit within the boundaries of the course?,[],,#N/A,
DR331,TRUE,"How well did the assigned papers, reports or other projects reflect the aims of the course?",[],,#N/A,
DR127,TRUE,"How well did the assigned papers, reports or other projects reflect the aims of the course?",[],,#N/A,
FS1003,TRUE,"How well did the knowledge, skills, and insights gained in this class align with your expectations?",[],,#N/A,
DI027,FALSE,"How well did this course, to the extent promised in the syllabus, enable “conversation across lines of difference,” integrate practical and theoretical concerns, or consider and integrate issues of class, gender/sexuality, race/ethnicity, dis/ability, and","['Consistently', 'Occasionally', 'Rarely', 'Not applicable']",,#N/A,
DR329,TRUE,How well was the course organized?,[],,#N/A,
DR125,TRUE,How well was the course organized?,[],,#N/A,
DR377,TRUE,How well were individual class sessions prepared and presented?,[],,#N/A,
DR415,FALSE,How well you expect to retain it Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent']",,#N/A,
DR414,FALSE,How well you understood the material Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent']",,#N/A,
DR383,TRUE,How would you evaluate the instructor's knowledge of the material?,[],,#N/A,
DR325,TRUE,How would you rate the overall usefulness of discussion sections for this class?,[],,#N/A,
LW105,FALSE,How would you rate the professor(s)'s availability to students outside of class?,"['1 (Worst)', '2', '3', '4', '5 (Best)']",,#N/A,
LW103,FALSE,How would you rate the professor(s)'s management of class discussions?,"['1 (Worst)', '2', '3', '4', '5 (Best)']",,#N/A,
AC1550,TRUE,"Were the resources provided to you by the School and University adequate for the fulfillment of the assigned work?  If not, please make suggestions.",[],available_resources,#N/A,
AC1450,TRUE,"Were the resources provided to you by the School and University adequate for the fulfillment of the work assigned?  If not, please make suggestions.",[],available_resources,#N/A,
YC407,FALSE,"Relative to other courses you have taken at Yale, the level of intellectual challenge of this course was:","['much less', 'less', 'same', 'greater', 'much greater']",challenge,challenge,
GS407,FALSE,"Relative to other courses you have taken at Yale, the level of intellectual challenge of this course was:","['much less', 'less', 'same', 'greater', 'much greater']",challenge,challenge,
YC402,FALSE,Your level of engagement with the course was:,"['very low', 'low', 'medium', 'high', 'very high']",engagement,engagement,
GS402,FALSE,Your level of engagement with the course was:,"['very low', 'low', 'medium', 'high', 'very high']",engagement,engagement,
FS0040,FALSE,I learned a lot from field trips.,"['1 (Agree)', '2', '3 (Neutral)', '4', '5 (Disagree)', 'N/A']",,#N/A,
FS1001,FALSE,Your level of engagement with this course compared to others you have taken was:,"['very low', 'low', 'medium', 'high', 'very high']",engagement,#N/A,
YC406,FALSE,I received clear feedback that improved my learning.,"['strongly disagree', 'disagree', 'neutral', 'agree', 'strongly agree']",feedback,feedback,
FS1006,FALSE,I received clear feedback that improved my learning.,"['strongly disagree', 'disagree', 'neutral', 'agree', 'strongly agree']",,#N/A,
FS0007,FALSE,I would give the instructor of this class an overall rating of:,"['1 (Excellent)', '2', '3 (Average)', '4', '5 (Poor)']",,#N/A,
FS0009,FALSE,I would give this course an overall rating of:,"['1 (Excellent)', '2', '3 (Average)', '4', '5 (Poor)']",,#N/A,
DR178,TRUE,I would recommend this course to another student.,[],,#N/A,
DR343,TRUE,I would recommend this instructor to other students.,[],,#N/A,
DR139,TRUE,I would recommend this instructor to other students.,[],,#N/A,
AC030,TRUE,"If a requirement, did this course occur in proper sequence within the School's educational program?  If not, where should it occur?",[],,#N/A,
DR385,TRUE,"If tests were given, how fairly did they measure knowledge gained?",[],,#N/A,
PH008,TRUE,"If this course included instruction by a teaching assistant (TA), please evaluate the TA here. What are the strengths and weaknesses and how might their teaching be improved? (Specify name of the TA).",[],teachingAssistant,teachingAssistant,
FS0023,TRUE,"If yes, what were the advantages and disadvantages of the group work?",[],,#N/A,
AC430,TRUE,"If you wish, please comment further on the teaching of your Section Critic.",[],,#N/A,
LW107,FALSE,"In your opinion, compared to other YLS professors you've had, how good a teacher was the professor(s)?","['1 (Worst)', '2', '3', '4', '5 (Best)']",,#N/A,
PH005,TRUE,Indicate the total number of hours per week (outside the classroom) you spent on this course:,[],hoursPerWeek,hoursPerWeek,
DR403,FALSE,Logical sequence Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent']",,#N/A,
PH006,TRUE,"Looking back on this course, what is your overall assessment of the course:  What are its strengths and weaknesses, and in what ways might it be improved?",[],overall,overall,
AC608,FALSE,Mastery of Subject,"['1 (Low)', '2', '3', '4', '5 (High)']",,#N/A,
DR405,FALSE,Mix of lectures/projects/discussion Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent']",,#N/A,
GS406,FALSE,I received clear feedback that improved my learning.,"['strongly disagree', 'disagree', 'neutral', 'agree', 'strongly agree']",feedback,feedback,
FS0050,FALSE,Out-of-class assignments for this course were ___________ to my learning.,"['1 (very helpful)', '2', '3 (helpful)', '4', '5 (not helpful)']",,#N/A,
LW104,FALSE,"Overall, how would you rate the professor(s)'s responsiveness to student comments, questions and concerns?","['1 (Worst)', '2', '3', '4', '5 (Best)']",,#N/A,
LW101,FALSE,"Overall, how would you rate the quality of the class materials for Behavioral & Inst Economics?","['1 (Worst)', '2', '3', '4', '5 (Best)']",,#N/A,
MG007,FALSE,What is your overall assessment of your instructor(s)?,"['1', '2', '3', '4', '5 (Best)']",professor,#N/A,
PH003,FALSE,What is your overall rating of the primary instructor?,"['poor', 'below average', 'good', 'very good', 'excellent']",professor,professor,
FS0049,TRUE,Did the knowledge/skills that you gained from the course meet your expectations ?,[],knowledge,#N/A,
FS0037,FALSE,"Overall, the teaching assistant for this course was accessible, organized, and able to explain concepts clearly and thoroughly.","['1 (Strongly Agree)', '2', '3 (Agree)', '4', '5 (Strongly disgree)']",,#N/A,
GS005,FALSE,Pace,"['slow', 'appropriate', 'fast']",,#N/A,
DR408,FALSE,Pacing Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent']",,#N/A,
DR426,TRUE,Please comment on all aspects of your experience in this course or module regarding: Organization.Comments:,[],,#N/A,
DR427,TRUE,Please comment on all aspects of your experience in this course or module regarding: the Instructor.Comments:,[],,#N/A,
DR429,TRUE,Please comment on all aspects of your experience in this course or module regarding: Your Learning.Comments:,[],,#N/A,
DR179,TRUE,"Please comment on the impact of the course on your own thinking, writing, and professional practice.",[],,#N/A,
DR428,TRUE,"Please comment on: Visitors, if any",[],,#N/A,
PH007,TRUE,"Please evaluate the instructor of this course. What are the instructor's strengths and weaknesses, and in what ways might his or her teaching be improved?",[],overallProfessor,overallProfessor,
FS0036,TRUE,Please identify the teaching assistant with whom you interacted most closely _____________________ .,[],,#N/A,
DR384,TRUE,"Please offer additional comments on such topics as: what worked best about the course, suggested improvements, class materials, etc.",[],,#N/A,
DR346,TRUE,"Please offer additional comments you have on such topics as: what worked best about the course, what improvements you would suggest, etc.",[],,#N/A,
DR142,TRUE,"Please offer additional comments you have on such topics as: what worked best about the course, what improvements you would suggest, etc.",[],,#N/A,
DR228,TRUE,Please provide any other constructive comments below.,[],,#N/A,
DR044,TRUE,Please provide any other constructive comments.,[],,#N/A,
DR041,TRUE,Please provide comments on topics such as:  What did you think about the class?  What improvements can you suggest?  Be as accurate and candid as possible.,[],,#N/A,
DR430,TRUE,Please provide: Suggestions for Improvement,[],,#N/A,
DR425,TRUE,Please rate and comment on the following aspects of your experience in this course or module regarding: Workload,[],,#N/A,
GS007,FALSE,Preparation for Departmental Requirements,"['not helpful', 'somewhat helpful', 'very helpful', 'not applicable']",,#N/A,
DR407,FALSE,Preparation Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent']",,#N/A,
DR411,FALSE,Quality of presentation Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent']",,#N/A,
DR355,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-N/A']",,#N/A,
DR356,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-N/A']",,#N/A,
DR357,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-N/A']",,#N/A,
DR358,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-N/A']",,#N/A,
DR359,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-N/A']",,#N/A,
DR360,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-N/A']",,#N/A,
DR361,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-N/A']",,#N/A,
DR362,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-N/A']",,#N/A,
DR363,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-N/A']",,#N/A,
DR364,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-N/A']",,#N/A,
DR400,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent']",,#N/A,
DR303,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR304,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR305,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR306,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR307,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR308,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR309,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR310,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR311,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR312,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR313,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR314,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR315,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR316,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR300,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR301,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR302,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR100,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR101,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR102,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR103,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR104,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR105,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR106,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR107,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR108,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR109,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR110,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR111,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR112,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR113,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent', '6-Does not apply']",,#N/A,
DR155,FALSE,Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent']",,#N/A,
DR335,TRUE,"Regardless of whether or not the course is required, would you recommend it to other students in and outside the department?",[],,#N/A,
DR131,TRUE,"Regardless of whether or not the course is required, would you recommend it to other students in and outside the department?",[],,#N/A,
GS401,TRUE,"What knowledge, skills, and insights did you develop by taking this course?",[],knowledge,knowledge,
YC401,TRUE,"What knowledge, skills, and insights did you develop by taking this course?",[],knowledge,knowledge,
FS1002,TRUE,"What knowledge, skills, and insights did you develop by taking this course?",[],knowledge,#N/A,
YC007,FALSE,"Do you expect to use this class for credit toward your major, or toward a pre-professional program?","['Yes', 'No']",major,major,
DR412,FALSE,Responsiveness Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent']",,#N/A,
AC180,TRUE,Suggestions you may have for core studio improvements:,[],,#N/A,
AC080,TRUE,Suggestions you may have for course improvements:,[],,#N/A,
DR402,FALSE,Syllabus Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent']",,#N/A,
FS0015,TRUE,The best thing,[],,#N/A,
DR334,TRUE,The course filled a significant gap in your knowledge of the field.,[],,#N/A,
DR130,TRUE,The course filled a significant gap in your knowledge of the field.,[],,#N/A,
DR336,TRUE,The course goals were clearly presented.,[],,#N/A,
DR132,TRUE,The course goals were clearly presented.,[],,#N/A,
YC307,FALSE,"Do you expect to use this class for credit toward your major, or toward a pre-professional program?","['Yes', 'No']",major,major,
AC606,FALSE,Organization,"['1 (Low)', '2', '3', '4', '5 (High)']",organization,#N/A,
YC405,FALSE,The course was well organized to facilitate student learning.,"['strongly disagree', 'disagree', 'neutral', 'agree', 'strongly agree']",organization,organization,
DR413,FALSE,The difference between what you knew before and what you know after Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent']",,#N/A,
DR416,FALSE,The extent to which you expect to use the insights you gained during your career Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent']",,#N/A,
DR341,TRUE,The grading criteria was clearly explained.,[],,#N/A,
DR137,TRUE,The grading criteria was clearly explained.,[],,#N/A,
DR337,TRUE,The instructor has a strong grasp of the course subject matter.,[],,#N/A,
DR133,TRUE,The instructor has a strong grasp of the course subject matter.,[],,#N/A,
DR338,TRUE,The instructor presented the subject matter effectively.,[],,#N/A,
DR134,TRUE,The instructor presented the subject matter effectively.,[],,#N/A,
DR342,TRUE,"The instructor was available for consultation, discussion and advice.",[],,#N/A,
DR138,TRUE,"The instructor was available for consultation, discussion and advice.",[],,#N/A,
DR340,TRUE,The instructor was willing to answer pertinent questions.,[],,#N/A,
DR136,TRUE,The instructor was willing to answer pertinent questions.,[],,#N/A,
DR339,TRUE,The instructor was willing to consider diverse points of view.,[],,#N/A,
DR135,TRUE,The instructor was willing to consider diverse points of view.,[],,#N/A,
FS0051,FALSE,The pace of this class was ____________ for optimal learning.,"['1 (too fast)', '2', '3 (about right)', '4', '5 (too slow)']",,#N/A,
PH004,FALSE,The primary instructor's sensitivity to students and ability to provide students with adequate feedback was:,"['poor', 'below average', 'good', 'very good', 'excellent']",sensitivity,sensitivity,
FS0035,FALSE,The readings/cases/textbooks used in this course were __________ .,"['1 (very useful)', '2', '3 (useful)', '4', '5 (not useful)']",,#N/A,
FS0016,TRUE,The things about this course most in need of improvement are:,[],,#N/A,
GS405,FALSE,The course was well organized to facilitate student learning.,"['strongly disagree', 'disagree', 'neutral', 'agree', 'strongly agree']",organization,organization,
FS0014,TRUE,"Use the space below to comment on questions 1-10, if you wish",[],,#N/A,
FS0042,TRUE,"Use the space below to comment on questions 1-14, if you wish",[],,#N/A,
DR326,TRUE,Was enough time devoted to discussion sections?,[],,#N/A,
FS0045,TRUE,Was the relationship between the course lectures and discussion/lab section,[],,#N/A,
DR406,FALSE,Website Ratings:,"['1-Poor', '2-Fair', '3-Average', '4-Good', '5-Excellent']",,#N/A,
FS1005,FALSE,The course was well organized to facilitate student learning.,"['strongly disagree', 'disagree', 'neutral', 'agree', 'strongly agree']",organization,#N/A,
MG008,FALSE,What is your overall assessment of the course?,"['1', '2', '3', '4', '5 (Best)']",rating,#N/A,
YC006,FALSE,What is your overall assessment of this course?,"['Poor', 'Below Average', 'Good', 'Very Good', 'Excellent']",rating,rating,
GS008,FALSE,What is your overall assessment of this course?,"['poor', 'below average', 'good', 'very good', 'excellent']",rating,#N/A,
YC404,FALSE,What is your overall assessment of this course?,"['poor', 'fair', 'good', 'very good', 'excellent']",rating,rating,
DR230,TRUE,Were there any particular challenges that were difficult to overcome?,[],,#N/A,
FS1010,TRUE,What advice would you give to a student considering taking this class?,[],,#N/A,
YC306,FALSE,What is your overall assessment of this course?,"['Poor', 'Below Average', 'Good', 'Very Good', 'Excellent']",rating,rating,
GS404,FALSE,What is your overall assessment of this course?,"['poor', 'fair', 'good', 'very good', 'excellent']",rating,rating,
PH002,FALSE,What is your overall assessment of this course?,"['poor', 'below average', 'good', 'very good', 'excellent']",rating,rating,
FS0044,TRUE,What aspects of this course need the most improvement?,[],,#N/A,
DR043,TRUE,What improvements can you suggest?,[],,#N/A,
FS0025,TRUE,What is the name of your TA?,[],,#N/A,
FS1009,FALSE,What is your overall assessment of this course?,"['poor', 'fair', 'good', 'very good', 'excellent']",rating,#N/A,
GS409,TRUE,Would you recommend this course to another student? Please explain.,[],recommend,recommend,
YC409,TRUE,Would you recommend this course to another student? Please explain.,[],recommend,recommend,
FS1004,TRUE,What are the strengths and weaknesses of the course and how could it be improved?,[],strengthsWeaknesses,#N/A,
GS403,TRUE,What are the strengths and weaknesses of this course and how could it be improved?,[],strengthsWeaknesses,strengthsWeaknesses,
YC403,TRUE,What are the strengths and weaknesses of this course and how could it be improved?,[],strengthsWeaknesses,strengthsWeaknesses,
GS003,TRUE,How would you summarize AFAM 505 01/AMST 643 01 for a fellow student? Would you recommend AFAM 505 01/AMST 643 01 to another student? Why or why not?,[],summary,summary,
YC004,TRUE,How would you summarize ECON 110 05 for a fellow student? Would you recommend ECON 110 05 to another student? Why or why not?,[],summary,summary,
YC304,TRUE,How would you summarize ECON 111 01 for a fellow student? Would you recommend ECON 111 01 to another student? Why or why not?,[],summary,summary,
DR175,TRUE,What is your overall level of engagement with this course?  Describe the connections you found with the Guest professional or Playwrights' work and worldview.,[],,#N/A,
DR177,TRUE,How would you summarize the course for a fellow student?,[],summary,#N/A,
PH009,TRUE,How would you summarize this course for a fellow student? Would you recommend it to another student? Why or why not?,[],summary,summary,
FS1007,FALSE,How would you rate the workload of this course in comparison to other F&ES courses you have taken?,"['much less', 'less', 'same', 'greater', 'much greater']",workload,#N/A,
PH001,FALSE,"Overall, how would you rate the workload of this course in comparison to other Yale courses you have taken:","['much less', 'below average', 'same', 'greater', 'much greater']",workload,workload,
DR345,FALSE,What percentage of the reading and other assignments did you complete?,"['0 - 25%', '25 - 50%', '50 - 75%', '75 - 100%']",,#N/A,
DR115,FALSE,What percentage of the reading and other assignments did you complete?,"['0 - 25%', '25 - 50%', '50 - 75%', '75 - 100%']",,#N/A,
FS0017,TRUE,What was the availability and quality of help you received of the instructor and TA?,[],,#N/A,
DI030,TRUE,What was the name of your practicum instructor?,[],,#N/A,
DR042,TRUE,What was valuable about the format and content of this class?,[],,#N/A,
DR225,TRUE,"What was valuable about this class, either in format or content?",[],,#N/A,
DI031,TRUE,What were her/his strengths or weaknesses?,[],,#N/A,
FS0043,TRUE,What were the best aspects of this course?,[],,#N/A,
FS0046,TRUE,What were the strengths and weaknesses of your teaching assistant,[],,#N/A,
DI028,TRUE,What were the strengths and weaknesses of your Teaching Fellow as an instructor and how might his/her teaching be improved?,[],,#N/A,
AC050,TRUE,What were your expectations for this course and how well were they met?,[],,#N/A,
AC540,TRUE,What were your expectations for this studio and how well were they met?,[],,#N/A,
AC260,TRUE,What were your expectations for this studio and how well were they met?,[],,#N/A,
AC440,TRUE,What were your expectations for this studio and how well were they met?,[],,#N/A,
AC160,TRUE,What were your expectations for this studio and how well were they met?,[],,#N/A,
FS0019,TRUE,Why did you take this course?,[],,#N/A,
YC005,FALSE,"Overall, how would you rate the workload of this course in comparison to other Yale courses you have taken?","['Much Less', 'Less', 'Same', 'Greater', 'Much Greater']",workload,workload,
YC305,FALSE,"Overall, how would you rate the workload of this course in comparison to other Yale courses you have taken?","['Much Less', 'Less', 'Same', 'Greater', 'Much Greater']",workload,workload,
YC408,FALSE,"Relative to other courses you have taken at Yale, the workload of this course was:","['much less', 'less', 'same', 'greater', 'much greater']",workload,workload,
